"Data...1." "N" "NSE" "M" "MSE" "R" "RSE" "L" "LSE"
"63" 63 2.38025338218399 1.0550794687793 7.97490955846459 0.997480177962703 2.46150869685828 0.858824389725312 7.15292810533157 0.187787916715959
"64" 64 4.37716241316938 1.05084447522192 7.1104874532711 0.978307139957695 5.28341253872999 0.838410262222975 6.50704547823386 0.101393911962788
"65" 65 2.51064991004401 1.05419018471074 7.14198081901553 0.97993472629861 3.80950885792489 0.826037966636366 6.69516050866506 0.0900026581279773
"66" 66 4.82357066833593 1.04602703993285 7.46938640861524 0.985862908378936 5.75046683475841 0.835592386282323 6.28346495802301 0.0962120916284424
"67" 67 3.08225560298805 1.05823502437193 4.91013245310086 0.975603388461335 3.54226150690718 0.833481890530694 6.25857548155754 0.101869315906415
"68" 68 2.63547607669018 1.06166607132558 6.02594431338716 0.975182416686557 3.12456408708658 0.833514475264464 5.82530532198406 0.112293952087534
"69" 69 4.09318746474794 1.05500204150703 5.55866029580783 0.979418188974144 4.33817613680083 0.833329675509451 4.58349323663403 0.0814580294844095
"70" 70 4.45282953814767 1.05452023123088 7.92312402199554 0.985454487483719 5.08498209640675 0.829751452804152 5.80064892773709 0.11950976894132
"71" 71 5.81457663039024 1.05979869766964 5.61490970719484 0.992892602559922 6.01269737308537 0.839713341382255 4.23431884531977 0.10826111265074
"72" 72 6.27171574105732 1.06560110022732 6.25744001279606 0.980595064885166 6.76208213981011 0.834484955829258 4.92450926111633 0.0820418186691294
"73" 73 4.25440415989268 1.05964389438281 4.97746568682494 0.986504741834263 5.2951786838774 0.83122381286278 6.50978806240521 0.0876670571486333
"74" 74 5.03154558467348 1.05886249037189 8.15175767949481 0.988309749814134 5.62108803050891 0.820493071005393 6.92907342970125 0.107121199727589
"75" 75 4.37645888112792 1.05280926880249 5.19550291244239 0.983518134224184 6.15349405001899 0.834914319433571 6.17798006451838 0.0822239006010357
"76" 76 5.5392144353643 1.06097205283799 5.57615760416129 0.985806347635187 5.66114070399392 0.836254080084525 4.17528266709499 0.101555866121278
"77" 77 4.24132195757578 1.04017548345787 5.31790348544638 0.985645222364447 5.04733520831493 0.831902746371368 4.51015378930401 0.0969559053033502
"78" 78 5.33523274759871 1.05437734685923 5.36606491790613 0.981331203361245 5.23781404566766 0.835471011972635 4.57044397755292 0.0860830639712248
